"http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,0,5
"http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,1,7
"http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,2,16
"http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,3,5
"http://bipartisanreport.com/2018/01/21/trumps-genius-poll-is-complete-the-results-have-americans-bursting-with-laughter/,4,8
"https://blackagendareport.com/articlelist/media%20and%20culture,5,9
"http://awarenessact.com/tag/waking-up-in-the-morgue/,6,4
"http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,7,7
"http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,8,7
"http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,9,12
"http://beforeitsnews.com/crime-all-stars/2018/01/clinton-obama-emails-key-to-understanding-why-hillary-wasnt-indicted-andrew-mccarthy-2462346.html,10,7
"https://www.christianpost.com/author/brenda-garrison/,11,14
"https://charismanews.com/politics/69268-in-calling-out-fake-news-donald-trump-engaged-voters,12,13
"http://beforeitsnews.com/religion/2018/01/mission-must-be-at-the-heart-of-journalism-pope-says-2538938.html,13,7
"http://barenakedislam.com/category/islamization-of-the-west/page/3/,14,6
"https://www.christianpost.com/news/luis-palau-and-sons-announce-that-popular-evangelist-has-stage-4-lung-cancer-see-here-214417/,15,14
"http://breakpoint.org/category/signs-and-wonders/page/3/,16,10
"https://www.christianpost.com/news/scientists-develop-new-method-to-create-stem-cells-without-killing-human-embryos-214991/,17,14
"http://canadafreepress.com/article/neo-stalinism-and-the-polish-challenge,18,12
"http://canadafreepress.com/article/how-do-hand-sanitizers-work,19,12
"http://canadafreepress.com/article/canada-has-almost-20-per-cent-fewer-doctors-per-capita-than-oecd-average,20,12
"http://awarenessact.com/6-ways-to-handle-a-psychic-attack/,21,4
"http://canadafreepress.com/article/improving-cyber-security-in-harsh-environments,22,12
"http://beforeitsnews.com/arts/2018/01/camouflage-by-iza-lyson-2507436.html,23,7
"http://canadafreepress.com/article/senate-confirms-pro-life-hhs-secretary-nominee-alex-azar-after-defeating-de,24,12
"http://canadafreepress.com/article/canada-employment-minister-hints-pro-abortion-pledge-could-be-expanded-to-o,25,12
"http://beforeitsnews.com/space/2018/01/a-black-hole-is-pushing-the-stars-around-in-this-globular-cluster-2511096.html,26,7
"http://beforeitsnews.com/contributor/pages/431/330/bio.html,27,7
"http://canadafreepress.com/members/1/marksmyth/1062,28,12
"http://beforeitsnews.com/terrorism/2017/10/the-time-factor-active-shooter-incidents-2460277.html,29,7
"http://beforeitsnews.com/police-state/2015/06/wow-this-top-secret-fbi-drill-makes-jade-helm-look-like-a-walk-in-the-park-were-in-for-it-1514.html,30,7
"http://canadafreepress.com/article/migraine-nightmare,31,12
"http://beforeitsnews.com/tea-party/2017/11/prepare-for-war-as-trump-tours-asia-all-eyes-on-north-korea-2602041.html,32,7
"http://canadafreepress.com/article/illegal-means-illegal-close-the-border,33,12
"http://beforeitsnews.com/gold-and-precious-metals/2017/12/the-integrated-non-usd-platforms-3177478.html,34,7
"http://canadafreepress.com/article/to-france-from-a-post-9-11-america-lessons-we-learned-too-late,35,12
"http://canadafreepress.com/article/poisoned-roots-now-baring-poisoned-fruit,36,12
"http://beforeitsnews.com/opinion-conservative/2017/10/greg-hunter-big-banks-in-big-trouble-syriank-update-trump-tax-cuts-update-video-3329958.html,37,7
"http://canadafreepress.com/article/yachats-on-the-central-oregon-coast,38,12
"http://beforeitsnews.com/prophecy/2015/07/hair-raising-revelation-why-the-tribulation-will-begin-soon-the-greatest-mystery-unfolds-when-you-see-whats-really-going-on-2471414.html,39,7
"http://beforeitsnews.com/business/2018/01/offers-are-getting-into-the-six-figure-range-in-pre-bidding-for-the-namescon-live-auction-3472166.html,40,7
"http://collectivelyconscious.net/videos/the-story-of-everything-carl-sagan-on-cosmology-evolution-and-science/,41,17
"http://beforeitsnews.com/economy/2017/10/debt-driven-consumer-economy-breaking-down-greg-weldon-2917653.html,42,7
"http://canadafreepress.com/article/why-america-is-one-nation-under-god-not-a-nation-of-lawyers,43,12
"http://beforeitsnews.com/tea-party/2017/11/calpers-is-shockedjust-shockedto-find-cities-reeling-under-growing-pension-debt-new-at-reason-2602880.html,44,7
"http://beforeitsnews.com/war-and-conflict/2015/12/reckless-putin-just-made-a-bold-threat-you-wont-believe-what-he-said-and-who-its-directed-towards-2459590.html,45,7
"http://canadafreepress.com/article/principles-and-values-represented-by-the-confederate-flag,46,12
"http://beforeitsnews.com/tea-party/2017/12/draining-the-swamp-doesnt-matter-as-long-as-groupthink-persists-2603234.html,47,7
"http://canadafreepress.com/article/chicagoland-useful-idiocy-on-display,48,12
"https://www.alternet.org/corporate-accountability-and-workplace/5-scandalous-reasons-big-finance-trying-hard-keep-low-profile,49,1
"http://beforeitsnews.com/opinion-conservative/2017/11/the-unbearable-slowness-of-4th-turnings-part-1-2-3339283.html,50,7
"http://canadafreepress.com/print_friendly/obama-and-redistribution-of-your-wealth,51,12
"http://www.washingtonexaminer.com/ben-cardin-trumps-new-syria-plan-is-illegal/article/2646305,52,25
"http://www.washingtonexaminer.com/newsweek-fact-check-denies-russian-payments-to-clintons-even-though-payments-happened/article/2638197,53,25
"http://www.washingtonexaminer.com/byron-york-u.s.-ran-out-of-ammo-in-attack-on-isis-trucks/article/2576958,54,25
"http://canadafreepress.com/article/liberalitis-the-reckless-spending-and-despotic-disease-in-washington,55,12
"http://beforeitsnews.com/gadgets/2017/08/9717226478-spy-playing-cards-in-delhi-india-2449886.html,56,7
"http://www.washingtonexaminer.com/trump-to-meet-with-australian-prime-minister-malcolm-turnbull-as-countries-prepare-to-sign-tpp-without-us-report/article/2646985,57,25
"http://canadafreepress.com/print_friendly/how-hud-makes-lousy-programs-look-great,58,12
"http://www.washingtonexaminer.com/justice-department-asks-supreme-court-to-overturn-daca-ruling/article/2646397,59,25
"http://www.washingtonexaminer.com/flyover-country-farmers-and-dc-bureaucrats-push-philadelphia-refinery-into-bankruptcy/article/2646687,60,25
"http://beforeitsnews.com/gulf-oil-spill/2015/11/iraqs-oil-industry-and-current-economic-outlook-2441872.html,61,7
"http://beforeitsnews.com/stories/category/health.html,62,7
"http://beforeitsnews.com/crime-all-stars/2017/12/clinton-lynch-airport-meeting-docs-released-to-watchdog-reveal-deep-state-corruption-video-2461949.html,63,7
"http://canadafreepress.com/article/government-inspectors-generals-describe-atmosphere-of-restricted-access,64,12
"http://beforeitsnews.com/gold-and-precious-metals/2018/01/the-new-cold-war-in-2018-3178516.html,65,7
"http://canadafreepress.com/print_friendly/context-is-everything,66,12
"http://www.washingtonexaminer.com/us-support-for-unrwa-has-gone-on-long-enough/article/2646140,67,25
"http://beforeitsnews.com/gold-and-precious-metals/2018/01/us-equities-deja-dump-all-over-again-as-vix-tops-12-3178551.html,68,7
"http://canadafreepress.com/members/1/jimbray/55/p700,69,12
"http://canadafreepress.com/print_friendly/obama-is-nobodys-messiah-now,70,12
"http://canadafreepress.com/article/mitsubishi-winter-driving-event-helps-teach-control-on-snow,71,12
"http://beforeitsnews.com/gold-and-precious-metals/2018/01/a-weird-week-draws-to-a-close-3178721.html,72,7
"http://www.washingtonexaminer.com/sen-john-kennedy-compares-school-choice-to-mayonnaise/article/2625082,73,25
"http://www.washingtonexaminer.com/eric-greitens-ignores-calls-to-resign-after-extramarital-affair-we-are-back-to-work-for-the-people-of-missouri/article/2646129,74,25
"http://beforeitsnews.com/opinion-conservative/2017/12/fbi-plot-to-overthrow-the-presidency-commit-organized-treason-in-america-revealed-3348826.html,75,7
"http://beforeitsnews.com/economics-and-politics/2017/12/so-begins-the-rug-yank-phase-of-fed-policy-2501969.html,76,7
"http://beforeitsnews.com/health/2017/12/legionnaires-in-the-water-proximity-to-connecticut-watersheds-linked-to-increased-risk-of-infection-2804584.html,77,7
"http://beforeitsnews.com/gold-and-precious-metals/2018/01/cryptocurrencies-leg-lower-after-south-korean-tax-headlines-3178892.html,78,7
"http://www.washingtonexaminer.com/stop-christie-pac-quits-says-candidate-did-its-job-for-them/article/2571009,79,25
"http://beforeitsnews.com/gold-and-precious-metals/2018/01/richmond-fed-suffers-biggest-2-month-drop-since-2006-3178965.html,80,7
"http://beforeitsnews.com/new-world-order/2017/02/wait-until-you-see-what-90-world-leaders-have-planned-radical-agenda-ignites-at-world-government-summit-7205.html,81,7
"http://www.washingtonexaminer.com/policy-roundup/article/2594188,82,25
"http://www.washingtonexaminer.com/michael-wolff-rejects-trump-claim-i-absolutely-spoke-to-the-president/article/2645072,83,25
"http://beforeitsnews.com/military/2017/12/russia-responds-to-us-provocation-open-skies-treaty-faces-hard-times-2480533.html,84,7
"http://beforeitsnews.com/weather/2016/10/top-hurricane-matthew-aftermath-footage-2016-mainstream-media-isnt-telling-you-the-truth-2445600.html,85,7
"http://www.nationalreview.com/article/427113/after-paris-massacre-debate-closed-isis-poses-special-threat-west-tom-rogan,86,18
"http://www.washingtonexaminer.com/venezuelas-socialist-president-tells-trump-get-your-dirty-hands-out-of-here/article/2623676,87,25
"http://beforeitsnews.com/financial-markets/2018/01/insights-from-the-2018-inside-etfs-conference-advisor-edition-2951740.html,88,7
"http://www.washingtonexaminer.com/in-prince-harry-interview-obama-takes-a-stand-for-free-speech/article/2644449,89,25
"http://beforeitsnews.com/science-and-technology/2017/08/nasa-creates-surface-flooding-maps-from-hurricane-harvey-2901229.html,90,7
"http://beforeitsnews.com/science-and-technology/2017/09/yawning-why-is-it-so-contagious-and-why-should-it-matter-2901347.html,91,7
"http://beforeitsnews.com/alternative/2016/12/cia-refuses-to-show-evidence-linking-trump-to-russia-because-it-would-help-russia-3450565.html,92,7
"http://beforeitsnews.com/weather/2016/12/winter-storm-decima-forecast-breakdown-wild-weather-incoming-deadly-arctic-air-icing-invasion-2445676.html,93,7
